ID,package,version,description,PoCGen,PoCGen_GLM,PoCGen_CodeQL_Result_Num,CodeQL_vanilla,Dynamic Source Export,Source Agent,Sink Agent,CallEdge Agent,CodeQL_Enhanced,Lines of code
GHSA-297x-8xj4-vcxv,dot,1.1.2,Improper Control of Generation of Code in doT,y,y,2,3,5,,,,,1392
GHSA-2cf5-4w76-r9qv,handlebars,3.0.7,Arbitrary Code Execution in handlebars,fp,,2,50,199,,,,,37769
GHSA-2fw4-mgq9-39cx,oauth2-server,3.1.1,Code Injection in oauth2-server,failed,,0,4,1,,,,,42564
GHSA-35jh-r3h4-6jhm,lodash,4.17.20,Command Injection in lodash,y,y,2,5,316,,,,,26586
GHSA-38f5-ghc2-fcmv,cryo,0.0.6,Code Injection in cryo,failed,,no sarif,4,2,,,,,5594
GHSA-3965-hpx2-q597,pug,3.0.2,Pug allows JavaScript code execution if an application accepts untrusted input,failed,,2,2,16,,,,,58345
GHSA-3c6g-pvg8-gqw2,json,9.0.6,trentm/json vulnerable to command injection,failed,y,1,4,no export api,,,,,2704
GHSA-3cqr-58rm-57f8,handlebars,3.0.7,Arbitrary Code Execution in Handlebars,fp,y,2,0,115,,,,,37769
GHSA-3qh4-r86r-grvm,typed-function,0.10.5,Arbitrary JavaScript Execution in typed-function,fp,,1,1,35,,,,,844
GHSA-3wj8-vp9h-rm6m,total.js,3.4.6,total.js Remote Code Execution Vulnerability,failed,,1,30,215,,,,,52640
ghsa-45c3-c4c3-8rqg,@frangoteam/fuxa,1.1.12,FUXA <= 1.1.12 has a Local File Inclusion vulnerability via file=fuxa.log,failed,,no sarif,no sarif,no export api,,,,,no loc
GHSA-4859-gpc7-4j66,dot,1.1.2,Command Injection in dot,y,,6,3,5,,,,,1392
GHSA-4g2x-vq5p-5vj6,@budibase/server,2.19.6,Budibase affected by VM2 Constructor Escape Vulnerability,failed,,0,no sarif,no export api,,,,,no loc
GHSA-4jg2-84c2-pj95,@asyncapi/modelina,0.59.9,Improper Control of Generation of Code ('Code Injection') in @asyncapi/modelina,failed,,no sarif,no sarif,210,,,,,179785
GHSA-4rch-2fh8-94vw,mysql2,3.9.6,MySQL2 for Node Arbitrary Code Injection,failed,(api-error),22,0,74,,,,,23991
GHSA-4vrv-93c7-m92j,snyk,1.1063.0,snyk Code Injection vulnerability,failed,(api-error),no sarif,no sarif,0,,,,,69911
GHSA-4w2j-2rg4-5mjw,vm2,3.9.9,vm2 vulnerable to Arbitrary Code Execution,failed,(api-error),261,3,152,,,,,15490
GHSA-4w88-rjj3-x7wp,electron,1.6.13,Chromium Remote Code Execution in electron,failed,,0,no sarif,0,,,,,82197
GHSA-4wv4-mgfq-598v,nobelprizeparser,1.0.1,Code injection in nobelprizeparser,y,y,1,4,1,,,,,49492
GHSA-5462-4vcx-jh7j,angular-expressions,1.4.2,Angular Expressions - Remote Code Execution when using locals,y,,1,1,20,,,,,3291
GHSA-54px-mhwv-5v8x,convert-svg-core,0.6.2,Code injection via SVG file in convert-svg-core,failed,,2,0,19,,,,,156272
GHSA-5726-g6r9-5f22,syntax-error,1.1.0,Potential for Script Injection in syntax-error,failed,,1,1,1,,,,,45281
GHSA-5gc4-cx9x-9c43,metacalc,0.0.1,Code Injection in metacalc,fp,y,1,0,1,,,,,253
ghsa-5gxc-fxcr-9326,convert-svg-core,0.6.1,convert-svg-core vulnerable to remote code injection,failed,,no sarif,0,22,,,,,149707
GHSA-5j3g-jfq3-7jwx,bassmaster,1.5.1,Arbitrary JavaScript Execution in bassmaster,fp,,1,0,1,,,,,9393
ghsa-6jvg-hp25-42f6,nteract,0.8.0,Nteract v.0.28.0 was discovered to contain a remote code execution (RCE) vulnerability via the Markdown link.,failed,,no sarif,0,0,,,,,27033
ghsa-6mvj-2569-3mcm,@editorjs/editorjs,2.25.0,Editor.js is a block-style editor with clean JSON output. Versions prior to 2.26.0 are vulnerable to Code Injection via pasted input. The processHTML method passes pasted input into wrapper鈥檚 innerHTML. This issue is patched in version 2.26.0.,failed,,no sarif,0,0,,,,,1111
ghsa-6pw2-5hjv-9pf7,vm2,3.9.5,"The package vm2 before 3.9.6 are vulnerable to Sandbox Bypass via direct access to host error objects generated by node internals during generation of a stacktraces, which can lead to execution of arbitrary code on the host machine.",fp,,no sarif,6,252,,,,,2335
GHSA-6wp6-22x5-rr3w,flowise,1.8.0,Flowise vulnerable to code injection via api/v1,failed,(api-error),0,no sarif,no export api,,,,,no loc
ghsa-7889-rm5j-hpgg,ckeditor4,4.16.1,Clipboard feature vulnerability allowing to inject arbitrary HTML into the editor using paste functionality,failed,,no sarif,0,0,,,,,1599
GHSA-7f5c-rpf4-86p8,hbs,4.1.2,Insertion of Sensitive Information into Externally-Accessible File or Directory and Exposure of Sensitive Information to an Unauthorized Actor in hbs,fp,,43,0,75,,,,,60795
GHSA-7fm6-gxqg-2pwr,total.js,3.4.8,Code Injection in total.js,failed,y,0,30,215,,,,,52656
GHSA-7jg2-jgv3-fmr4,pdfjs-dist,2.0.489,Malicious PDF can inject JavaScript into PDF Viewer,failed,,0,0,33,,,,,318049
GHSA-7x97-j373-85x5,electron,22.3.18,Electron vulnerable to out-of-package code execution when launched with arbitrary cwd,failed,,0,no sarif,0,,,,,37733
GHSA-8478-53pv-jxvm,joplin,2.6.2,Joplin Vulnerable to Code Injection,failed,,0,no sarif,0,,,,,1449667
GHSA-8j8c-7jfh-h6hx,js-yaml,3.13.0,Code Injection in js-yaml,y,(api-error),no sarif,4,71,,,,,15061
GHSA-8m2f-74r2-x3f2,accesslog,0.0.2,Code injection in accesslog,fp,,1,1,2,,,,,422
GHSA-8r6j-v8pm-fqw3,fsevents,1.2.10,Code injection in fsevents,failed,,no sarif,no sarif,no export api,,,,,no loc
GHSA-8whr-v3gm-w8h9,node-rules,4.0.2,Command Injection in node-rules,y,y,4,4,10,,,,,4430
GHSA-9j49-mfvp-vmhm,pac-resolver,4.2.0,Code Injection in pac-resolver,fp,y,1,1,1,,,,,30938
GHSA-9p6p-8v9r-8c9m,js-deobfuscator,1.0.20,javascript-deobfuscator crafted payload can lead to code execution,fp,,0,0,1,,,,,25782
GHSA-9wf9-qvvp-2929,@builder.io/qwik,0.20.1,builderio/qwik is vulnerable to code injection,failed,(api-error),2,no sarif,no export api,,,,,59635
GHSA-cchq-frgv-rjh5,vm2,3.9.19,vm2 Sandbox Escape vulnerability,fp,,1,no sarif,no export api,,,,,15799
GHSA-cgqv-x5cx-xvqh,pouchdb,6.0.4,Arbitrary Code Injection in pouchdb,failed,,no sarif,no sarif,no export api,,,,,no loc
GHSA-cvv5-9h9w-qp2m,systeminformation,5.23.6,Systeminformation has command injection vulnerability in getWindowsIEEE8021x (SSID),failed,,4,no sarif,no export api,,,,,15200
