ID,package,version,description,PoCGen,PoCGen_GLM,PoCGen_CodeQL_Result_Num,CodeQL_vanilla,Dynamic Source Export,Source Agent,Sink Agent,CallEdge Agent,CodeQL_Enhanced,Lines of code
GHSA-2275-rpf5-xv8h,is-http2,1.2.0,is-http2 vulnerable to Improper Input Validation,y,(api-error),no sarif,0,no export api,,,,,54432
GHSA-2877-693q-pj33,genieacs,1.2.7,OS Command Injection in GenieACS,failed,(api-error),no sarif,0,0,,,,,0
GHSA-29gp-92wp-94q8,react-dev-utils,1.0.3,react-dev-utils on Windows vulnerable to Remote Code Execution,y,(api-error),no sarif,69,0,,,,,110350
GHSA-2c83-wfv3-q25f,rebber,5.2.0,Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection') in ZMarkdown,failed,,20,11,2,,,,,1572
GHSA-2m8v-572m-ff2v,systeminformation,4.34.23,Command Injection Vulnerability,failed,(api-error),no sarif,122,no export api,,,,,10907
GHSA-3f95-r44v-8mrg,simple-git,3.2.6,Command injection in simple-git,failed,,2,20,97,,,,,9381
GHSA-3fw4-4h3m-892h,serial-number,1.3.0,OS Command Injection in serial-number,y,(api-error),no sarif,no sarif,no export api,,,,,no loc
GHSA-3fxp-vwxm-2r5p,gitlogplus,3.1.7,Command injection in gitlogplus,y,(api-error),no sarif,no sarif,1,,,,,1010
GHSA-3hq6-rmv7-39vh,op-browser,1.0.9,Injection in op-browser,failed,(api-error),no sarif,24,2,,,,,174
GHSA-3p94-vj97-fm4q,fsa,0.5.1,OS Command Injection in fsa,y,y,1,12,0,,,,,702
GHSA-3q9x-w53p-jg53,heroku-addonpool,0.1.15,OS Command Injection in heroku-addonpool,failed,,no sarif,13,no export api,,,,,416
GHSA-3x62-x456-q2vm,git-pull-or-clone,2.0.1,OS Command Injection in git-pull-or-clone,failed,(api-error),no sarif,10,1,,,,,1466
GHSA-4228-7qvx-f4rq,devcert,1.1.1,Injection and Command Injection in devcert,failed,(api-error),no sarif,no sarif,no export api,,,,,54856
GHSA-426h-24vj-qwxf,npm-programmatic,0.0.12,Command Injection in npm-programmatic,y,(api-error),no sarif,6,3,,,,,13896
ghsa-446w-rrm4-r47f,,,,failed,,no sarif,no sarif,no export api,,,,,no loc
