ID,package,version,description,PoCGen,PoCGen_GLM,PoCGen_CodeQL_Result_Num,CodeQL_vanilla,Dynamic Source Export,Source Agent,Sink Agent,CallEdge Agent,CodeQL_Enhanced,Lines of code
GHSA-23vf-5g53-hm9q,list-n-stream,0.0.10,Directory Traversal in list-n-stream,,,1,0,0,,,,,1935
GHSA-23xp-j737-282v,takeapeek,0.2.2,Path Traversal in takeapeek,,y,1,7,0,,,,,87970
GHSA-25jw-gcfj-283j,360class.jansenhm,0.1.1,Directory Traversal in 360class.jansenhm,,(api-error),138,2,no export api,,,,,111
GHSA-277h-px4m-62q8,@saltcorn/server,1.0.0-beta.13,@saltcorn/server arbitrary file zip read and download when downloading auto backups,,,0,no sarif,0,,,,,1791469
GHSA-2fmp-7xwf-wvwr,snyk-broker,4.73.0,Arbitrary File Read in Snyk Broker,,y,7,34,no export api,,,,,270398
GHSA-2gjg-5x33-mmp2,localhost-now,1.0.1,Path Traversal in localhost-now,,y,2,2,1,,,,,44
GHSA-2hhw-p8mg-jrm6,http-live-simulator,1.0.5,Path Traversal in http-live-simulator,,y,2,4,0,,,,,2538
GHSA-2r4h-2ghh-5hpx,weather.swlyons,0.1.6,Directory Traversal in weather.swlyons,,y,1,2,no export api,,,,,34
GHSA-2r7f-4h2c-5x73,fury-adapter-swagger,0.9.6,fury-adapter-swagger allows arbitrary file read from system,,,110,0,2,,,,,1532459
GHSA-333x-9vgq-v2j4,geddy,13.0.7,Directory Traversal in geddy,,,15,6,no export api,,,,,40835
GHSA-39v3-f278-vj3g,@backstage/plugin-techdocs-backend,1.10.12,@backstage/plugin-techdocs-backend storage bucket Directory Traversal vulnerability,,,0,no sarif,46,,,,,1422811
GHSA-3cgg-gh9j-w8vm,iter-http,1.0.13,Directory Traversal in iter-http,,y,6,12,no export api,,,,,671
GHSA-3f5c-4qxj-vmpf,next,2.4.0,Next.js Directory Traversal Vulnerability,,,21,4,1,,,,,532514
GHSA-3grc-fgh6-g5gp,http_static_simple,0.1.1,Directory Traversal in http_static_simple,,y,1,2,no export api,,,,,57
GHSA-3hvm-hgpw-rx4j,knightjs,0.0.1,Path Traversal in knightjs,,y,1,6,1,,,,,859
GHSA-3q32-j57w-q4w7,total.js,3.1.1,Path Traversal in total.js,,(api-error),no sarif,250,194,,,,,42161
GHSA-3r8f-gphx-9m2c,mcstatic,0.0.20,Path Traversal in mcstatic,,,2,8,10,,,,,8146
GHSA-3v6h-hqm4-2rg6,adm-zip,0.4.10,Arbitrary File Write in adm-zip,,y,22,62,22,,,,,2854
GHSA-3vg2-4qxc-ch4j,unicorn-list,1.0.4,Directory Traversal in unicorn-list,,,no sarif,no sarif,no export api,,,,,no loc
GHSA-4328-8hgf-7wjr,npm,6.13.3,npm Vulnerable to Global node_modules Binary Overwrite,,,3,2,393,,,,,16941
GHSA-45hw-29x7-9x95,snyk-broker,4.78.0,Arbitrary File Read in Snyk Broker,,,6,34,no export api,,,,,270411
GHSA-4vcm-qfxh-p6c3,getcityapi.yoehoehne,0.0.1,Directory Traversal in getcityapi.yoehoehne,,y,1,2,no export api,,,,,1662
