ID,package,version,description,PoCGen,PoCGen_GLM,PoCGen_CodeQL_Result_Num,CodeQL_vanilla,Dynamic Source Export,Source Agent,Sink Agent,CallEdge Agent,CodeQL_Enhanced,Lines of code
GHSA-22h7-7wwg-qmgg,@hapi/hoek,8.5.0,Prototype Pollution in @hapi/hoek,,(api-error),no sarif,9,no export api,,,,,1130
GHSA-23wx-cgxq-vpwx,dset,3.1.1,Prototype Pollution in dset,,(api-error),no sarif,8,1,,,,,72
GHSA-28mc-g557-92m7,@75lb/deep-merge,1.1.1,@75lb/deep-merge Prototype Pollution vulnerability,,(api-error),0,0,2,,,,,493
GHSA-2g4c-8fpm-c46v,web3-utils,4.2.0,web3-utils Prototype Pollution vulnerability,,y,3,28,no export api,,,,,158684
GHSA-2ghc-6v89-pw9j,body-parser-xml,2.0.2,body-parser-xml vulnerable to Prototype Pollution,,(api-error),no sarif,0,1,,,,,5898
GHSA-2m53-83f3-562j,min-dash,3.8.0,Prototype pollution in min-dash,,(api-error),no sarif,7,41,,,,,1532
GHSA-2m96-9w4j-wgv7,lodash.merge,4.6.0,Prototype Pollution in lodash.merge,,(api-error),no sarif,0,1,,,,,875
GHSA-2w3f-9w3q-qw77,config-handler,2.0.3,Prototype Pollution in config-handler,,,no sarif,3,1,,,,,676
GHSA-2x9c-qwgf-94xr,matrix-react-sdk,3.52.0,matrix-react-sdk Prototype pollution vulnerability,,,0,no sarif,0,,,,,1286903
GHSA-328p-362g-r48j,@ag-grid-enterprise/charts,32.0.0,ag-grid packages vulnerable to Prototype Pollution,,,0,no sarif,1731,,,,,85731
GHSA-33vh-7x8q-mg35,safe-eval,0.4.1,safe-eval vulnerable to Prototype Pollution,,y,1,0,1,,,,,87
GHSA-34q8-jcq6-mc37,uplot,1.6.30,uPlot Prototype Pollution vulnerability,,y,2,316,26,,,,,13383
GHSA-36c4-4r89-6whg,@commercial/subtext,5.1.1,Prototype Pollution in @commercial/subtext,,(api-error),no sarif,39,1,,,,,2681
GHSA-3829-mgmw-jcg4,deep.assign,0.0.0-alpha.0,Prototype Pollution in deep.assign,,(api-error),no sarif,6,2,,,,,113
