ID,package,version,description,PoCGen,PoCGen_GLM,PoCGen_CodeQL_Result_Num,CodeQL_vanilla,Dynamic Source Export,Source Agent,Sink Agent,CallEdge Agent,CodeQL_Enhanced,Lines of code
GHSA-28v4-jf82-jvj8,steal,2.3.0,steal vulnerable to Regular Expression Denial of Service via source and sourceWithComments,,(api-error),no sarif,0,no export api,,,,,102312
GHSA-2j79-8pqc-r7x6,react-native-reanimated,2.9.1,react-native-reanimated vulnerable to ReDoS,,,2,no sarif,0,,,,,543048
GHSA-2qqx-w9hr-q5gx,angular,1.8.3,angular vulnerable to regular expression denial of service via the $resource service,,(api-error),400,0,0,,,,,2
GHSA-2vrf-hf26-jrp5,angular,1.8.3,angular vulnerable to regular expression denial of service via the angular.copy() utility,,(api-error),10,0,0,,,,,2
GHSA-325j-24f4-qv5x,ssri,5.2.1,Regular Expression Denial of Service in ssri,,,1,1,90,,,,,426
GHSA-36jr-mh4h-2g58,d3-color,3.0.1,d3-color vulnerable to ReDoS,,,1,0,39,,,,,1049
GHSA-394c-5j6w-4xmx,ua-parser-js,0.7.22,ua-parser-js Regular Expression Denial of Service vulnerability,,(api-error),45,0,1,,,,,763
GHSA-3p6v-hrg8-8qj7,@mozilla/readability,0.5.0,@mozilla/readability Denial of Service through Regex,,,1,4,58,,,,,3515
GHSA-3phv-83cj-p8p7,nope-validator,0.12.0,nope-validator Regular Expression Denial of Service vulnerability,,,11,0,69,,,,,5064
GHSA-3rfm-jhwj-7488,loader-utils,1.4.1,loader-utils is vulnerable to Regular Expression Denial of Service (ReDoS) via url variable,,,1,1,10,,,,,5414
GHSA-3rh3-wfr4-76mj,@ckeditor/ckeditor5-engine,26.0.0,Regular expression Denial of Service in multiple packages,,,2,4,0,,,,,27586
GHSA-3rw8-4xrq-3f7p,uptime-kuma,2.0.0-dev.0,Duplicate Advisory: Uptime Kuma ReDoS vulnerability,,,2,no sarif,0,,,,,1111058
GHSA-3xgq-45jj-v275,cross-spawn,7.0.4,Regular Expression Denial of Service (ReDoS) in cross-spawn,,,15,0,7,,,,,748
GHSA-3xq5-wjfh-ppjc,luxon,2.5.1,Luxon Inefficient Regular Expression Complexity vulnerability,,y,1,2,185,,,,,29152
ghsa-44pw-h2cw-w3vq,,,,,,no sarif,no sarif,no export api,,,,,no loc
GHSA-468q-v4jj-485h,@tarojs/helper,2.2.22,Inefficient Regular Expression Complexity in taro,,,11,0,no export api,,,,,236524
GHSA-4gmj-3p3h-gm8h,es5-ext,0.10.62,es5-ext vulnerable to Regular Expression Denial of Service in `function#copy` and `function#toStringTokens`,,,2,3,no export api,,,,,15424
GHSA-4hpf-3wq7-5rpr,is-my-json-valid,2.17.1,Regular expression deinal of service (ReDoS) in is-my-json-valid,,y,5,0,2,,,,,1706
GHSA-4q6p-r6v2-jvc5,get-func-name,2.0.0,Chaijs/get-func-name vulnerable to ReDoS,,,1,1,1,,,,,41
GHSA-4w4v-5hc9-xrr2,angular,1.8.3,angular vulnerable to super-linear runtime due to backtracking,,(api-error),10,0,0,,,,,2
GHSA-4wf5-vphf-c2xc,terser,4.8.0,Terser insecure use of regular expressions leads to ReDoS,,,0,0,916,,,,,13854
GHSA-4x5v-gmq8-25ch,semver-regex,3.1.3,Regular expression denial of service in semver-regex,,,0,0,1,,,,,4
GHSA-4xf9-pgvv-xx67,simple-markdown,0.5.1,Regular Expression Denial of Service in simple-markdown,,,0,7,127,,,,,1415
GHSA-55xv-f85c-248q,jsx-slack,4.5.0,Regular Expression Denial of Service (ReDoS) in jsx-slack,,,15,0,44,,,,,3512
GHSA-593f-38f6-jp5m,koa,2.15.3,Inefficient Regular Expression Complexity in koa,,,9,0,25,,,,,7517
GHSA-5j4c-8p2g-v4jx,vue,2.7.16,ReDoS vulnerability in vue package that is exploitable through inefficient regex evaluation in the parseHTML function,,,8,12,145,,,,,194264
GHSA-5pgg-2g8v-p4x9,xlsx,0.18.5,SheetJS Regular Expression Denial of Service (ReDoS),,,68,no sarif,177,,,,,76484
GHSA-5v2h-r2cx-5xgj,marked,4.0.9,Inefficient Regular Expression Complexity in marked,,y,2,9,79,,,,,7737
GHSA-62gr-4qp9-h98f,handlebars,4.4.4,Regular Expression Denial of Service in Handlebars,,,1,4,196,,,,,58914
GHSA-662x-fhqg-9p8v,ua-parser-js,0.7.21,Regular Expression Denial of Service in ua-parser-js,,y,45,0,1,,,,,763
GHSA-68qg-g787-3rp5,knwl.js,1.0.2,Knwl.js Regular Expression Denial of Service vulnerability,,,13,0,1,,,,,3230
